index,x_m,y_m,z_m
0,-0.0247460760726,-0.0288366148937,-0.0201136668295
1,0.0228803001838,0.0284350198878,0.0118645057646
2,0.0324213777127,-0.019096556885,-0.0201194994152
3,-0.025418587588,0.0282451439362,-0.0197429052809
4,0.00105781598995,-0.0107070777652,0.0118805002421
5,-0.0362053192894,0.00461659185482,0.0117138647582
6,0.00939804162764,0.0116751713122,-0.0201194994152
7,0.0361331379218,-0.00462409611054,0.0118805002421
8,-0.011799384563,0.0343414027763,0.0118805002421
9,0.00604804095475,-0.0359935380396,-0.00856723445074
10,-0.0379962212398,-0.000307827523168,-0.0192760585949
11,-0.0266586419623,-0.0249275042581,0.0109813587408
12,0.0370433087396,0.00846637454974,-0.0200838378202
13,0.000742543526531,0.037990886576,-0.0186943896369
14,0.0225809372643,-0.0282523247256,0.0118805002421
15,-0.0037085183874,-0.0118528615074,-0.0201194994152
16,0.0027194075647,0.0137254946033,0.0118805002421
17,-0.00556709051613,-0.0350006682004,0.0118805002421
18,0.0216265678209,0.0294012496169,-0.0113765753637
19,-0.0142797127889,0.00835183986112,-0.0201194994152
20,-0.0280009944578,0.0234095500065,0.00147598266115
21,0.0338752373476,0.0135837731841,0.000908947869184
22,0.00605282604161,0.0359927681065,0.00150117374596
23,-0.0148336960388,0.00290563764291,0.0118805002421
24,-0.0347385019346,-0.011194576704,-0.00204272584114
25,0.0161882757086,-0.00751279397327,-0.0201194994152
26,0.0176142249405,0.00122612462294,0.0118805002421
27,0.031854377409,-0.0178159952591,-0.00113224552168
28,-0.0132002430043,0.0340286145497,-0.00687071381741
29,-0.013093111391,-0.034070243202,-0.00512300101119
30,-0.0223021265704,-0.0108021464364,-0.0201194994152
31,0.0157268983707,-0.0262853635392,-0.0201194994152
32,-0.00546872814084,-0.0289986997373,-0.0201194994152
33,0.0364550454319,-0.00180705412516,-0.00667252462835
34,-0.0331766684507,0.0152104607157,-0.0122976989572
35,-0.00818875681537,0.0240163751506,-0.0201194994152
36,0.021024863613,-0.0298361607552,-0.00443215174665
37,-0.0149083707748,-0.0138371563519,0.0118805002421
38,-0.0166187325382,0.0186737591792,0.0118805002421
39,-0.0265019986887,-0.0250961285445,-0.00479570427074
40,0.00695096544271,-0.0254506606774,0.0118805002421
41,0.0236586031571,0.0169875695513,-0.0201194994152
42,-0.0291516535569,-0.00885141554691,0.0118805002421
43,0.0194802296146,-0.0136394385053,0.0118805002421
44,-0.0363273519882,0.0035415330693,-0.00363620241365
45,0.0101102807812,0.0261671477861,-0.0201194994152
46,0.0246679718436,0.0136691225331,0.0118805002421
47,0.0304984097733,-0.00421877486523,-0.0201194994152
48,-0.00179236349735,0.00227800897308,-0.0201194994152
49,0.00711517885604,0.0268714560066,0.0118805002421
